FECHA VENTA,ANIO VENTA,MES VENTA,DIA VENTA,CODIGO MUNICIPIO_DANE,MUNICIPIO INSTALACION,LATITUD,LONGITUD,EDS ACTIVAS,NUMERO DE VENTAS,VEHICULOS ATENDIDOS,CANTIDAD VOLUMEN SUMINISTRADO
07/20/2023 12:00:00 AM,2023,7,20,15150,TUNJA,55184726715,-733780212402,2,348,259,3486.45
07/26/2023 12:00:00 AM,2023,7,26,15151,CHIQUINQUIRA,56224880219,-738042449951,2,377,257,3008.09
07/14/2023 12:00:00 AM,2023,7,14,15157,SOGAMOSO,56466722488,-728709564209,1,282,172,2479.36
07/18/2023 12:00:00 AM,2023,7,18,15151,CHIQUINQUIRA,56224880219,-738042449951,2,461,326,3881.19
07/16/2023 12:00:00 AM,2023,7,16,15152,DUITAMA,58906025887,-730670928955,2,192,132,1585.33
07/04/2023 12:00:00 AM,2023,7,4,15151,CHIQUINQUIRA,56224880219,-738042449951,1,428,286,3358.95
07/11/2023 12:00:00 AM,2023,7,11,15150,TUNJA,55184726715,-733780212402,2,441,318,4498.23
07/03/2023 12:00:00 AM,2023,7,3,15150,TUNJA,55184726715,-733780212402,2,331,277,3370.53
07/29/2023 12:00:00 AM,2023,7,29,15151,CHIQUINQUIRA,56224880219,-738042449951,2,409,290,3378.07
07/28/2023 12:00:00 AM,2023,7,28,15151,CHIQUINQUIRA,56224880219,-738042449951,2,392,271,3279.28
07/04/2023 12:00:00 AM,2023,7,4,15152,DUITAMA,58906025887,-730670928955,2,230,178,5588.43
07/08/2023 12:00:00 AM,2023,7,8,15157,SOGAMOSO,56466722488,-728709564209,1,296,191,2827.13
07/28/2023 12:00:00 AM,2023,7,28,15157,SOGAMOSO,56466722488,-728709564209,1,232,165,1944.81
07/07/2023 12:00:00 AM,2023,7,7,15157,SOGAMOSO,56466722488,-728709564209,1,233,163,1969.71
07/24/2023 12:00:00 AM,2023,7,24,15150,TUNJA,55184726715,-733780212402,2,402,296,4164.42
07/05/2023 12:00:00 AM,2023,7,5,15151,CHIQUINQUIRA,56224880219,-738042449951,1,409,278,3300.92
07/22/2023 12:00:00 AM,2023,7,22,15152,DUITAMA,58906025887,-730670928955,2,189,134,2055.31
07/11/2023 12:00:00 AM,2023,7,11,15151,CHIQUINQUIRA,56224880219,-738042449951,2,482,346,4014.53
07/18/2023 12:00:00 AM,2023,7,18,15150,TUNJA,55184726715,-733780212402,2,413,299,4531.26
07/06/2023 12:00:00 AM,2023,7,6,15152,DUITAMA,58906025887,-730670928955,2,210,165,3477.71
07/27/2023 12:00:00 AM,2023,7,27,15157,SOGAMOSO,56466722488,-728709564209,1,253,178,2564.57
07/31/2023 12:00:00 AM,2023,7,31,15157,SOGAMOSO,56466722488,-728709564209,1,220,153,1865.63
07/24/2023 12:00:00 AM,2023,7,24,15157,SOGAMOSO,56466722488,-728709564209,1,246,183,2143.61
07/12/2023 12:00:00 AM,2023,7,12,15157,SOGAMOSO,56466722488,-728709564209,1,270,192,2416.82
07/25/2023 12:00:00 AM,2023,7,25,15151,CHIQUINQUIRA,56224880219,-738042449951,2,396,286,3365.06
07/20/2023 12:00:00 AM,2023,7,20,15157,SOGAMOSO,56466722488,-728709564209,1,202,137,1762.49
07/12/2023 12:00:00 AM,2023,7,12,15151,CHIQUINQUIRA,56224880219,-738042449951,2,469,337,3821.98
07/02/2023 12:00:00 AM,2023,7,2,15157,SOGAMOSO,56466722488,-728709564209,1,228,147,1935.73
07/11/2023 12:00:00 AM,2023,7,11,15152,DUITAMA,58906025887,-730670928955,2,183,138,1.827
